id_distrito_fecha_hora_trunc;fecha_hora_truncada_accidente;cod_distrito;intensidad_vehiculos
01-2023-02-26 12:00:00;2023-02-26 12:00:00;1;1970.07
01-2023-02-27 08:00:00;2023-02-27 08:00:00;1;2274.96
01-2023-02-28 00:00:00;2023-02-28 00:00:00;1;824.53
01-2023-02-28 09:00:00;2023-02-28 09:00:00;1;2400.69
01-2023-02-28 16:00:00;2023-02-28 16:00:00;1;2298.52
01-2023-03-01 05:00:00;2023-03-01 05:00:00;1;377.09
01-2023-03-01 10:00:00;2023-03-01 10:00:00;1;2365.0
01-2023-03-02 00:00:00;2023-03-02 00:00:00;1;1057.03
01-2023-03-02 11:00:00;2023-03-02 11:00:00;1;2388.81
01-2023-03-02 13:00:00;2023-03-02 13:00:00;1;2349.12
01-2023-03-02 20:00:00;2023-03-02 20:00:00;1;2300.64
01-2023-03-02 21:00:00;2023-03-02 21:00:00;1;1946.62
01-2023-03-02 23:00:00;2023-03-02 23:00:00;1;1474.95
01-2023-03-03 20:00:00;2023-03-03 20:00:00;1;2525.0
01-2023-03-04 03:00:00;2023-03-04 03:00:00;1;1144.63
01-2023-03-04 14:00:00;2023-03-04 14:00:00;1;2295.64
01-2023-03-04 19:00:00;2023-03-04 19:00:00;1;2267.83
01-2023-03-04 22:00:00;2023-03-04 22:00:00;1;1992.88
01-2023-03-05 00:00:00;2023-03-05 00:00:00;1;1743.66
01-2023-03-05 01:00:00;2023-03-05 01:00:00;1;1620.08
01-2023-03-05 02:00:00;2023-03-05 02:00:00;1;1417.78
01-2023-03-05 03:00:00;2023-03-05 03:00:00;1;1224.3
01-2023-03-05 13:00:00;2023-03-05 13:00:00;1;1946.3
01-2023-03-05 19:00:00;2023-03-05 19:00:00;1;1747.51
01-2023-03-06 07:00:00;2023-03-06 07:00:00;1;1871.81
01-2023-03-06 12:00:00;2023-03-06 12:00:00;1;2311.74
01-2023-03-06 17:00:00;2023-03-06 17:00:00;1;2233.56
01-2023-03-07 08:00:00;2023-03-07 08:00:00;1;2510.36
01-2023-03-07 21:00:00;2023-03-07 21:00:00;1;1841.76
01-2023-03-08 09:00:00;2023-03-08 09:00:00;1;2556.46
01-2023-03-08 14:00:00;2023-03-08 14:00:00;1;2472.62
01-2023-03-09 17:00:00;2023-03-09 17:00:00;1;2456.84
01-2023-03-09 20:00:00;2023-03-09 20:00:00;1;2431.93
01-2023-03-09 22:00:00;2023-03-09 22:00:00;1;1670.94
01-2023-03-10 13:00:00;2023-03-10 13:00:00;1;2509.05
01-2023-03-10 18:00:00;2023-03-10 18:00:00;1;2387.73
01-2023-03-10 19:00:00;2023-03-10 19:00:00;1;2427.67
01-2023-03-10 23:00:00;2023-03-10 23:00:00;1;1696.8
01-2023-03-11 19:00:00;2023-03-11 19:00:00;1;2275.22
01-2023-03-11 20:00:00;2023-03-11 20:00:00;1;2358.22
01-2023-03-11 22:00:00;2023-03-11 22:00:00;1;2023.05
01-2023-03-12 00:00:00;2023-03-12 00:00:00;1;1777.29
01-2023-03-12 06:00:00;2023-03-12 06:00:00;1;955.48
01-2023-03-12 09:00:00;2023-03-12 09:00:00;1;796.12
01-2023-03-12 11:00:00;2023-03-12 11:00:00;1;1581.05
01-2023-03-12 20:00:00;2023-03-12 20:00:00;1;1946.94
01-2023-03-13 10:00:00;2023-03-13 10:00:00;1;2303.45
01-2023-03-13 11:00:00;2023-03-13 11:00:00;1;1710.72
01-2023-03-13 13:00:00;2023-03-13 13:00:00;1;1822.17
